match_id,date,home_team,away_team,venue,competition,result,attendance,outcome
2025-08-13_Paris_Saint-Germain_vs_Tottenham_Hotspur,2025-08-13,Paris Saint-Germain,Tottenham Hotspur,Away,UEFA Super Cup,6:5 on pens,21025,Loss
2025-08-16_Tottenham_Hotspur_vs_Burnley_FC,2025-08-16,Tottenham Hotspur,Burnley FC,Home,Premier League,3:0,61077,Win
2025-08-23_Manchester_City_vs_Tottenham_Hotspur,2025-08-23,Manchester City,Tottenham Hotspur,Away,Premier League,0:2,51785,Win
2025-08-30_Tottenham_Hotspur_vs_AFC_Bournemouth,2025-08-30,Tottenham Hotspur,AFC Bournemouth,Home,Premier League,0:1,61250,Loss
2025-09-13_West_Ham_United_vs_Tottenham_Hotspur,2025-09-13,West Ham United,Tottenham Hotspur,Away,Premier League,0:3,62459,Win
2025-09-16_Tottenham_Hotspur_vs_Villarreal_CF,2025-09-16,Tottenham Hotspur,Villarreal CF,Home,UEFA Champions League,1:0,54755,Win
2025-09-20_Brighton_&_Hove_Albion_vs_Tottenham_Hotspur,2025-09-20,Brighton & Hove Albion,Tottenham Hotspur,Away,Premier League,2:2,31488,Draw
